Type,Country Code,Series Code,Description
Country-Series,Afghanistan (AFG),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Afghanistan (AFG),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Afghanistan (AFG),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are World Bank staff estimates. Short-term debt before 2015 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021."
Country-Series,Angola (AGO),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Short-term debt and long-term private nonguaranteed debt data for 2024 are sourced from the National Bank of Angola. DSSI eligible and participating in 2020, 2021 and 2022."
Country-Series,Angola (AGO),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Angola (AGO),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Albania (ALB),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Albania (ALB),"Population, total (SP.POP.TOTL)","Data source: Institute of Statistics, Eurostat"
Country-Series,Albania (ALB),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
Country-Series,Argentina (ARG),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data before 2008 are World Bank staff estimates. Short-term debt data for 2023 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of Paris Club debt restructuring agreement.
Country-Series,Argentina (ARG),"Population, total (SP.POP.TOTL)","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects"
Country-Series,Argentina (ARG),"External debt stocks, private nonguaranteed (PNG) (DOD, current US$) (DT.DOD.DPNG.CD)",Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.
Country-Series,Argentina (ARG),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Armenia (ARM),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Armenia (ARM),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced from the Central Bank of Armenia.
Country-Series,Armenia (ARM),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Azerbaijan (AZE),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Azerbaijan (AZE),"Population, total (SP.POP.TOTL)","Data source: Eurostat, State Statistical Committee."
Country-Series,Azerbaijan (AZE),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are World Bank staff estimates based on the market data and country report. Short-term debt for 2024 is based on data from the BIS.
Country-Series,Burundi (BDI),"External debt stocks, total (DOD, current US$) (DT.DOD.DECT.CD)",Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Data include the effects of Paris Club debt restructuring agreement and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021.
Country-Series,Burundi (BDI),"Foreign direct investment, net inflows in reporting economy (DRS, current US$) (BX.KLT.DINV.CD.DT)",Data on Foreign Direct Investment are based on Balance of Payments reported by the International Monetary Fund. Unless otherwise specified in the specific years.
Country-Series,Burundi (BDI),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
Country-Series,Benin (BEN),"Population, total (SP.POP.TOTL)",Data source: United Nations World Population Prospects
