country_code,average_debt
CHN       ,53479941305.878815
IND       ,16133521096.572536
MEX       ,16039381509.514507
BRA       ,14773341915.532263
IDN       ,10716367144.353283
ARG       ,6080114096.500106
THA       ,4857863642.350316
ZAF       ,4645838193.205395
COL       ,3775477315.6823173
KAZ       ,3678672838.8389063
UKR       ,3511872255.7769747
VNM       ,3287194915.0170264
PHL       ,3282559378.3308663
PAK       ,3279115817.017613
EGY       ,3054465201.20038
BGD       ,2834732557.2867923
NGA       ,2796925440.371141
PER       ,2219834230.229904
IRQ       ,1982659355.2574036
AGO       ,1941251875.2980309
LBN       ,1904306188.0243654
IRN       ,1793043142.3530786
MAR       ,1727670366.514876
ECU       ,1349539968.3492131
LKA       ,1274433582.63864
SRB       ,1229528850.1506422
DZA       ,1150930365.4665422
KEN       ,1134075129.271334
BLR       ,1119177477.6829333
ETH       ,1037726275.2140583
UZB       ,1029349944.0696843
SDN       ,992479702.7522364
DOM       ,983926085.1944073
TUN       ,974372856.4699823
GHA       ,913823685.2123313
TZA       ,904385423.1992154
MOZ       ,893432800.3735899
JOR       ,786617274.2143755
GTM       ,745098599.5794473
SEN       ,701082118.5028058
KHM       ,694843986.3684418
AZE       ,634214467.0935814
MNG       ,621413161.7089641
MMR       ,589480620.2144985
ZMB       ,558026290.284926
COD       ,555005162.1616602
PRY       ,546465259.8898106
UGA       ,527949402.9464829
SLV       ,509376707.39068294
CMR       ,507377337.62536097
GEO       ,467640280.06377304
YEM       ,460909101.6431614
BOL       ,460080567.3442299
MLI       ,455094921.3965606
LAO       ,453795574.1179649
BIH       ,446656255.45665866
NPL       ,430345194.73772496
PNG       ,417975542.60475475
JAM       ,415644235.0372483
HND       ,382188285.9800797
SYR       ,378852557.23021716
NIC       ,356561942.46628165
COG       ,329707765.8505817
ARM       ,329428971.78414005
TKM       ,329297600.523102
MUS       ,326117324.3441199
BFA       ,316182826.52375054
GAB       ,295093849.4239625
ZWE       ,294998881.3802955
BEN       ,294404850.1784868
KGZ       ,289991420.92204255
ALB       ,256121093.0729432
MKD       ,254534428.83739358
RWA       ,248885103.6451056
AFG       ,231896248.7677012
NER       ,222457664.63457456
MNE       ,219726926.42545956
GIN       ,213848662.46693668
MDG       ,210536277.62776336
MRT       ,200850468.79399976
TCD       ,186218509.61259404
MDA       ,183648867.93387482
TJK       ,183390274.84027514
BWA       ,170883019.18750286
SUR       ,169494910.38171154
SOM       ,168045112.44647673
MWI       ,165348180.78156513
HTI       ,154807948.18184987
GNQ       ,136438225.40096775
TGO       ,127470611.7564267
BTN       ,117836363.95930244
MDV       ,105743334.80562995
XKX       ,100249027.7278996
GUY       ,100079720.98492336
SLE       ,99139856.03029212
LBR       ,92636980.89597759
DJI       ,91511750.14040026
FJI       ,86559110.2527375
CPV       ,80409000.24058293
LSO       ,64695825.99720549
BLZ       ,61896874.41262348
BDI       ,59536935.37252071
GNB       ,57544599.61163413
ERI       ,57472339.17485475
SWZ       ,55157780.51318399
GMB       ,47789730.10593574
TLS       ,46041911.38142134
CAF       ,44548618.47840446
LCA       ,36717976.95670318
GRD       ,32283877.39259539
COM       ,24524057.460047845
WSM       ,24369684.332094677
VCT       ,22736568.41708411
SLB       ,21813999.35599973
VUT       ,20022248.41223711
DMA       ,16344365.594979782
TON       ,12087920.012222221
