country_code,series_code,total_debt
CHN       ,NY.GNP.MKTP.CD,220640000000000.0
CHN       ,FI.RES.TOTL.CD,59820000000000.0
CHN       ,BX.GSR.TOTL.CD,51777000000000.0
CHN       ,BM.GSR.TOTL.CD,47063000000000.0
IND       ,NY.GNP.MKTP.CD,46339000000000.0
BRA       ,NY.GNP.MKTP.CD,39829000000000.0
CHN       ,DT.DOD.DECT.CD,29972000000000.0
MEX       ,NY.GNP.MKTP.CD,28352000000000.0
IDN       ,NY.GNP.MKTP.CD,18225000000000.0
CHN       ,DT.DOD.DSTC.CD,17250153000000.0
CHN       ,DT.DOD.DLXF.CD,12452000000000.0
IND       ,BM.GSR.TOTL.CD,12094304126928.0
MEX       ,BM.GSR.TOTL.CD,10737000000000.0
BRA       ,DT.DOD.DECT.CD,10231000000000.0
MEX       ,DT.DOD.DECT.CD,10190000000000.0
ARG       ,NY.GNP.MKTP.CD,10187763789033.0
IND       ,BX.GSR.TOTL.CD,10046200119415.0
MEX       ,BX.GSR.TOTL.CD,9675000000000.0
IND       ,DT.DOD.DECT.CD,9105500093586.0
IRN       ,NY.GNP.MKTP.CD,9075000000000.0
MEX       ,DT.DOD.DLXF.CD,8968000000000.0
BRA       ,DT.DOD.DLXF.CD,8808000000000.0
CHN       ,DT.DOD.VTOT.CD,8610138838721.0
THA       ,NY.GNP.MKTP.CD,8421000000000.0
ZAF       ,NY.GNP.MKTP.CD,8139000000000.0
IND       ,FI.RES.TOTL.CD,8037731174202.0
CHN       ,DT.DOD.PRVS.CD,7362677608000.0
CHN       ,DT.DOD.DPNG.CD,7288002000000.0
IND       ,DT.DOD.DLXF.CD,7258684034786.0
BRA       ,BM.GSR.TOTL.CD,6979011587367.0
PHL       ,NY.GNP.MKTP.CD,6813611848855.0
NGA       ,NY.GNP.MKTP.CD,6811000000000.0
BRA       ,DT.DOD.VTOT.CD,6527833003269.0
MEX       ,DT.DOD.VTOT.CD,6497000000000.0
IDN       ,DT.DOD.DECT.CD,6483000000000.0
COL       ,NY.GNP.MKTP.CD,6350223115014.0
BRA       ,FI.RES.TOTL.CD,6253584117742.0
BRA       ,BX.GSR.TOTL.CD,5918961798150.0
THA       ,BX.GSR.TOTL.CD,5900916440298.0
PAK       ,NY.GNP.MKTP.CD,5890054723634.0
EGY       ,NY.GNP.MKTP.CD,5877161572265.0
THA       ,BM.GSR.TOTL.CD,5787807316587.0
IND       ,DT.DOD.VTOT.CD,5735679655653.0
IDN       ,DT.DOD.DLXF.CD,5484000000000.0
BRA       ,DT.DOD.PRVS.CD,5437315942909.0
BRA       ,DT.DOD.DPNG.CD,5396004420000.0
BGD       ,NY.GNP.MKTP.CD,5215959738564.0
CHN       ,DT.DOD.DPPG.CD,5154366066084.0
CHN       ,DT.DOD.PUBS.CD,5079532850084.0
CHN       ,DT.DOD.DEPS.CD,5073532850084.0
CHN       ,BN.CAB.XOKA.CD,5071464832714.0
MEX       ,DT.DOD.DPPG.CD,4963772124465.0
MEX       ,DT.DOD.PUBS.CD,4963201110465.0
MEX       ,DT.DOD.DEPS.CD,4963201110465.0
VNM       ,NY.GNP.MKTP.CD,4797913547675.0
CHN       ,DT.DOD.PNGC.CD,4766982547000.0
IDN       ,BM.GSR.TOTL.CD,4551057039231.0
ARG       ,DT.DOD.DECT.CD,4521000000000.0
CHN       ,DT.TDS.DECT.CD,4499307856055.0
BRA       ,DT.DOD.PNGC.CD,4326533604000.0
MEX       ,DT.DOD.PRVT.CD,4323662365007.0
MEX       ,DT.DOD.PRVT.PS.CD,4322436043007.0
IDN       ,BX.GSR.TOTL.CD,4319376601041.0
DZA       ,NY.GNP.MKTP.CD,4098647778267.0
VNM       ,BM.GSR.TOTL.CD,4066523030800.0
IND       ,DT.DOD.PRVS.CD,4012364011780.0
IND       ,DT.DOD.DPNG.CD,4009917459000.0
MEX       ,DT.DOD.PRVS.CD,4004846172000.0
MEX       ,DT.DOD.DPNG.CD,4001619343000.0
VNM       ,BX.GSR.TOTL.CD,3970697000000.0
MEX       ,DT.DOD.PBND.CD,3864053963144.0
MEX       ,DT.DOD.PBND.PS.CD,3864053963144.0
PER       ,NY.GNP.MKTP.CD,3766709146293.0
CHN       ,DT.TDS.DLXF.CD,3741081772745.0
CHN       ,BX.KLT.DINV.CD.DT,3735241522111.0
CHN       ,DT.DOD.PRVT.CD,3685456789396.0
IND       ,DT.DOD.PNGC.CD,3674366621000.0
THA       ,FI.RES.TOTL.CD,3649100768761.0
CHN       ,DT.DOD.PRVT.PS.CD,3605984121396.0
IDN       ,DT.DOD.DPPG.CD,3563295152690.0
IDN       ,DT.DOD.PUBS.CD,3563295152690.0
IDN       ,DT.DOD.DEPS.CD,3563295152690.0
MEX       ,FI.RES.TOTL.CD,3444118845734.0
BRA       ,DT.DOD.DPPG.CD,3413787979366.0
BRA       ,DT.DOD.PUBS.CD,3369679075174.0
BRA       ,DT.DOD.DEPS.CD,3369679075174.0
CHN       ,DT.DIS.DLXF.CD,3282732628004.4
CHN       ,DT.DIS.DLTF.CD,3267299289198.0
IND       ,DT.DOD.DPPG.CD,3248064291155.0
IND       ,DT.DOD.PUBS.CD,3245454265882.0
IND       ,DT.DOD.DEPS.CD,3245454265882.0
KAZ       ,NY.GNP.MKTP.CD,3241649669159.0
ARG       ,DT.DOD.DLXF.CD,3191971884183.0
CHN       ,DT.AMT.DLXF.CD,3149334262325.0
UKR       ,NY.GNP.MKTP.CD,3139555484547.0
MEX       ,DT.DOD.DEGG.CD,3128006433748.0
IDN       ,DT.DOD.DEGG.CD,3106248256475.0
THA       ,DT.DOD.DECT.CD,3056955577529.0
KAZ       ,DT.DOD.DECT.CD,2898667988294.0
ZAF       ,DT.DOD.DECT.CD,2860094768366.0
BRA       ,DT.TDS.DECT.CD,2859101065494.0
BRA       ,DT.TDS.DLXF.CD,2762480027254.0
IDN       ,DT.DOD.VTOT.CD,2727391673670.0
CHN       ,DT.DOD.PBND.CD,2698215797200.0
MEX       ,DT.DOD.PRVT.GG.CD,2684175357434.0
MEX       ,DT.DOD.PBND.GG.CD,2667398815678.0
KAZ       ,DT.DOD.DLXF.CD,2658470045868.0
MEX       ,DT.DOD.PNGC.CD,2647430567000.0
ZAF       ,BM.GSR.TOTL.CD,2633283245940.0
CHN       ,DT.DOD.DEGG.CD,2624998458725.0
CHN       ,DT.DOD.PBND.PS.CD,2621215797200.0
CHN       ,DT.TDS.DPNG.CD,2560439820562.0
UKR       ,DT.DOD.DECT.CD,2556289562500.0
CHN       ,DT.DOD.PNGB.CD,2521550519000.0
ZAF       ,BX.GSR.TOTL.CD,2504618556708.0
MAR       ,NY.GNP.MKTP.CD,2501861239402.0
MEX       ,DT.DOD.VPPG.CD,2496494237952.0
BRA       ,DT.DOD.PRVT.CD,2483182172548.0
BRA       ,DT.DOD.PRVT.PS.CD,2465675722892.0
CHN       ,DT.DOD.DOPS.CD,2448315162203.0
DZA       ,FI.RES.TOTL.CD,2378836929996.0
CHN       ,DT.AMT.DLTF.CD,2374570709861.0
KAZ       ,DT.DOD.VTOT.CD,2362072470275.0
COL       ,DT.DOD.DECT.CD,2360747302526.0
IND       ,DT.DOD.DEGG.CD,2352192852286.0
ARG       ,DT.DOD.DPPG.CD,2296788073536.0
ARG       ,DT.DOD.DEPS.CD,2294256397814.0
ARG       ,DT.DOD.PUBS.CD,2294256397814.0
CHN       ,DT.DIS.DPNG.CD,2286812699000.0
CHN       ,DT.DOD.DECT.CD.CG,2270093287686.0
IDN       ,FI.RES.TOTL.CD,2266491176055.0
KAZ       ,DT.DOD.PRVS.CD,2264463571000.0
KAZ       ,DT.DOD.DPNG.CD,2264289657000.0
PHL       ,BM.GSR.TOTL.CD,2257264979492.0
ARG       ,DT.DOD.DEGG.CD,2246151923269.0
CHN       ,DT.AMT.DPNG.CD,2245374077973.0
IRQ       ,NY.GNP.MKTP.CD,2198000000000.0
BRA       ,DT.DIS.DLTF.CD,2193880944607.0
CHN       ,DT.NFL.DECT.CD,2183330366559.0
BRA       ,DT.DIS.DLXF.CD,2171275259905.5
IDN       ,DT.DOD.PRVT.CD,2136340031620.0
IDN       ,DT.DOD.PRVT.PS.CD,2136340031620.0
IRN       ,BX.GSR.TOTL.CD,2121289026529.0
CHN       ,DT.DOD.PRVT.OPS.CD,2068357977284.0
COL       ,DT.DOD.DLXF.CD,2060498259140.0
BRA       ,DT.AMT.DLXF.CD,2034818957312.0
KAZ       ,DT.DOD.PNGC.CD,2029091558000.0
ZAF       ,DT.DOD.DLXF.CD,2010802811115.0
THA       ,DT.DOD.DLXF.CD,1979231904548.0
ARG       ,BM.GSR.TOTL.CD,1963641615891.0
BRA       ,DT.TDS.DPNG.CD,1948609174012.0
CHN       ,DT.TDS.PNGC.CD,1942635912188.0
IDN       ,DT.DOD.PRVS.CD,1919939152104.0
IDN       ,DT.DOD.DPNG.CD,1919939152104.0
PHL       ,DT.DOD.DECT.CD,1914649030066.0
IDN       ,DT.DOD.PBND.CD,1903741901195.0
IDN       ,DT.DOD.PBND.PS.CD,1903741901195.0
BRA       ,DT.DOD.DEGG.CD,1868149738435.0
ECU       ,NY.GNP.MKTP.CD,1856822060176.0
ARG       ,BX.GSR.TOTL.CD,1840020781353.0
MEX       ,DT.DOD.DOPS.CD,1832590120168.0
UKR       ,DT.DOD.DLXF.CD,1818306744922.0
IND       ,DT.DOD.OFFT.CD,1817711119655.0
IND       ,DT.DOD.OFFT.PS.CD,1817342828655.0
CHN       ,DT.AMT.PNGC.CD,1805698718205.0
PAK       ,DT.DOD.DECT.CD,1797064036437.0
THA       ,DT.DOD.VTOT.CD,1788050254174.0
PHL       ,BX.GSR.TOTL.CD,1784566377807.0
MEX       ,DT.TDS.DECT.CD,1769288584562.0
UKR       ,BM.GSR.TOTL.CD,1748681000000.0
IND       ,DT.DOD.VPPG.CD,1725073937945.0
IRN       ,BM.GSR.TOTL.CD,1721881163654.0
MEX       ,DT.TDS.DLXF.CD,1715102991917.0
VNM       ,DT.DOD.DECT.CD,1702681423518.0
CHN       ,DT.DIS.PNGC.CD,1700877155000.0
EGY       ,DT.DOD.DECT.CD,1699147041770.0
NGA       ,BM.GSR.TOTL.CD,1699108642823.0
IDN       ,DT.DOD.PRVT.GG.CD,1696953773930.0
BRA       ,DT.AMT.DLTF.CD,1679706711958.0
IND       ,DT.DOD.DSTC.CD,1678152092000.0
EGY       ,BM.GSR.TOTL.CD,1667762050000.0
BRA       ,DT.TDS.PNGC.CD,1663017889603.0
IND       ,DT.DOD.OFFT.GG.CD,1655083249225.0
ARG       ,DT.DOD.PRVT.CD,1642104601842.0
ARG       ,DT.DOD.PRVT.PS.CD,1641684601842.0
IDN       ,DT.DOD.PNGC.CD,1639878846338.0
MEX       ,DT.DOD.PRVT.OPS.CD,1638332223639.0
ARG       ,DT.DOD.PRVT.GG.CD,1635939311455.0
IND       ,DT.TDS.DECT.CD,1625818756283.0
BRA       ,DT.DIS.DPNG.CD,1614028940000.0
ARG       ,DT.DOD.PBND.CD,1608868431761.0
ARG       ,DT.DOD.PBND.PS.CD,1608448431761.0
ARG       ,DT.DOD.PBND.GG.CD,1604900431761.0
PHL       ,DT.DOD.DLXF.CD,1584170826806.0
COL       ,BM.GSR.TOTL.CD,1583699142676.0
AGO       ,NY.GNP.MKTP.CD,1582526575028.0
IND       ,DT.TDS.DLXF.CD,1579064975838.0
IDN       ,DT.DOD.PBND.GG.CD,1568661249195.0
PHL       ,FI.RES.TOTL.CD,1556741512296.0
CHN       ,DT.DOD.PRVT.GG.CD,1537091429780.2
UKR       ,BX.GSR.TOTL.CD,1530099000000.0
ARG       ,DT.DOD.VTOT.CD,1522834130148.0
PAK       ,DT.DOD.DLXF.CD,1517760128786.0
CHN       ,DT.DOD.PBND.GG.CD,1517573019200.0
NGA       ,BX.GSR.TOTL.CD,1507151497869.0
BRA       ,DT.DOD.DOPS.CD,1503757190839.0
