country_code,indicator_count
DOM       ,542
EGY       ,538
BRA       ,533
PHL       ,527
ARG       ,522
COL       ,522
IND       ,520
HND       ,514
PAK       ,512
SLV       ,511
AGO       ,505
LKA       ,504
MDG       ,503
JAM       ,502
GHA       ,501
NIC       ,501
UKR       ,500
MAR       ,500
ALB       ,499
SRB       ,499
VNM       ,497
UZB       ,495
BLZ       ,491
DZA       ,485
ECU       ,484
PRY       ,482
BOL       ,480
MNG       ,480
PER       ,477
THA       ,474
TUN       ,473
GTM       ,473
GUY       ,472
MDV       ,469
ARM       ,467
MDA       ,467
PNG       ,466
ZMB       ,463
KAZ       ,462
ZAF       ,462
MEX       ,462
CHN       ,459
ZWE       ,458
NGA       ,457
JOR       ,457
MOZ       ,456
MKD       ,456
IDN       ,454
CMR       ,451
MMR       ,449
MUS       ,447
MNE       ,446
TZA       ,443
TJK       ,441
BLR       ,439
LSO       ,439
AZE       ,436
KEN       ,432
MRT       ,432
SEN       ,428
ETH       ,428
BGD       ,427
GEO       ,427
BWA       ,425
LAO       ,424
KGZ       ,423
UGA       ,422
HTI       ,422
COD       ,420
TKM       ,418
IRN       ,416
SWZ       ,414
NPL       ,414
GAB       ,413
COG       ,413
VCT       ,412
LBR       ,411
DJI       ,408
FJI       ,408
DMA       ,408
BEN       ,407
IRQ       ,406
LBN       ,406
BIH       ,405
GIN       ,402
GRD       ,399
CPV       ,396
SLE       ,395
MWI       ,394
RWA       ,394
BDI       ,393
XKX       ,392
LCA       ,389
GMB       ,387
BFA       ,384
SYR       ,382
TGO       ,381
GNB       ,378
SDN       ,378
YEM       ,373
BTN       ,371
TCD       ,371
NER       ,367
CAF       ,365
TON       ,357
SUR       ,354
MLI       ,351
SLB       ,334
WSM       ,316
VUT       ,309
COM       ,307
SOM       ,306
KHM       ,301
AFG       ,297
TLS       ,277
ERI       ,276
GNQ       ,261
