country_code,year,total_debt
CHN       ,2021,55251250991423.51
CHN       ,2022,48034033139529.8
CHN       ,2024,47894176657823.8
CHN       ,2023,45957079970721.484
CHN       ,2020,43307072504054.82
CHN       ,2019,40103218641295.98
CHN       ,2018,37918063369310.21
CHN       ,2017,34051143392124.97
CHN       ,2014,30855973455439.84
CHN       ,2016,28661293953765.08
CHN       ,2013,27554033573312.62
CHN       ,2015,26141488347503.84
CHN       ,2012,23746626471074.94
CHN       ,2011,22572736388465.65
CHN       ,2010,18155843191012.97
IND       ,2024,15438820700602.93
CHN       ,2009,13801937543244.93
IND       ,2023,13300156996729.5
CHN       ,2008,13036828627007.72
IND       ,2021,11967758221387.34
IND       ,2022,11847461539758.25
BRA       ,2023,11271108105429.2
CHN       ,2007,11049860297623.83
IND       ,2019,10873348676357.02
IND       ,2020,10664665364377.07
IND       ,2017,10573394435088.68
MEX       ,2024,10408892744151.6
BRA       ,2014,10357222220463.75
BRA       ,2024,10256599758672.94
MEX       ,2023,10162437812399.19
MEX       ,2019,10107063024410.57
IND       ,2018,10064863689861.61
IND       ,2014,10019060814541.72
BRA       ,2022,9939691305024.97
BRA       ,2021,9651208998835.48
MEX       ,2017,9625866262348.28
MEX       ,2020,9620607145484.06
BRA       ,2013,9591165374526.73
MEX       ,2022,9548359028762.03
MEX       ,2021,9523344570449.45
MEX       ,2018,9486220944428.66
BRA       ,2019,9440066497861.08
BRA       ,2018,9392313916583.82
BRA       ,2017,9352841825534.34
MEX       ,2016,9331859618211.09
BRA       ,2020,9257420801021.21
MEX       ,2014,9242573248320.44
IND       ,2015,8903790824884.99
MEX       ,2013,8860795589297.89
BRA       ,2016,8795073386443.3
CHN       ,2006,8766654629332.0205
MEX       ,2012,8757466814639.03
BRA       ,2015,8651688153234.47
BRA       ,2012,8583005554554.03
MEX       ,2015,8541124045101.399
BRA       ,2011,8417346049229.38
IDN       ,2024,8342542628504.32
IND       ,2016,8333984662608.47
IND       ,2013,7885438306003.58
IND       ,2012,7514623948466.28
IDN       ,2019,7513399551801.3
CHN       ,2005,7487328567897.07
BRA       ,2010,7399890747966.85
IDN       ,2023,7311202271706.37
IDN       ,2020,7216899340970.47
IDN       ,2021,7014370908324.81
IDN       ,2022,6989886850603.75
IND       ,2011,6947688000738.12
MEX       ,2011,6946422081371.64
IDN       ,2018,6893318463153.7705
MEX       ,2010,6650162085289.69
IDN       ,2017,6564139661076.87
IND       ,2010,6521449268365.62
CHN       ,2004,6325189015547.45
IDN       ,2016,5907969050290.19
BRA       ,2008,5741161409881.82
IDN       ,2015,5718216890714.18
BRA       ,2009,5639240646626.82
IDN       ,2014,5613940237422.19
MEX       ,2008,5427358697522.91
ARG       ,2018,5372363824937.76
MEX       ,2007,5341828826774.01
IDN       ,2012,5318005110467.27
CHN       ,2003,5217804515456.65
IND       ,2007,5174001958182.42
IND       ,2009,5165203187350.01
IND       ,2008,5144385843516.59
MEX       ,2009,5126995626742.53
BRA       ,2007,4952724123805.59
ARG       ,2017,4822433200416.62
IDN       ,2013,4767865407376.1
MEX       ,2006,4686831814882.97
MEX       ,2005,4552172758348.12
MEX       ,2001,4402628625931.5
MEX       ,2004,4382470269003.22
CHN       ,2002,4298712296327.86
CHN       ,2001,4241135105504.15
